MD,INC,AZI,TVD,SSTVD,N/S,NORTHING,E/W,EASTING,VSEC,DLS
5650,9.35,127.99,5648.32,-200.67,-34.79,13987731.17,52.39,1097959.47,60.22,6.32
5675,11.11,130.02,5672.92,-225.27,-37.59,13987728.37,55.83,1097962.92,64.33,7.19
5700,12.62,132.49,5697.38,-249.73,-40.98,13987724.98,59.69,1097966.78,69.01,6.37
5725,13.02,132.67,5721.76,-274.11,-44.74,13987721.23,63.77,1097970.86,74,1.61
5750,12.94,131.97,5746.12,-298.47,-48.52,13987717.45,67.93,1097975.01,79.07,0.71
5775,13.32,131.34,5770.47,-322.82,-52.29,13987713.67,72.17,1097979.26,84.23,1.62
5800,13.57,131.01,5794.78,-347.13,-56.12,13987709.84,76.55,1097983.63,89.53,1.05
5825,14.14,130.26,5819.05,-371.4,-60.01,13987705.95,81.09,1097988.17,95,2.39
5850,15.03,129.35,5843.25,-395.6,-64.04,13987701.92,85.93,1097993.01,100.8,3.68
5875,16.43,127.94,5867.31,-419.66,-68.27,13987697.69,91.22,1097998.31,107.09,5.8
5900,17.59,126.76,5891.22,-443.57,-72.71,13987693.25,97.04,1098004.12,113.95,4.84
5925,19.51,125.12,5914.92,-467.27,-77.37,13987688.59,103.48,1098010.56,121.46,7.96
5950,21.32,123.21,5938.35,-490.7,-82.26,13987683.7,110.7,1098017.78,129.79,7.71
5975,22.24,121.77,5961.56,-513.91,-87.24,13987678.72,118.52,1098025.61,138.72,4.26
6000,22.68,120.17,5984.67,-537.02,-92.16,13987673.81,126.71,1098033.8,147.98,3.01
6025,23.51,117.92,6007.66,-560.01,-96.91,13987669.05,135.28,1098042.37,157.57,4.85
6050,24.17,115.17,6030.53,-582.88,-101.42,13987664.54,144.32,1098051.41,167.52,5.17
6075,24.86,114.22,6053.28,-605.63,-105.76,13987660.2,153.75,1098060.83,177.8,3.18
6100,25.39,113.55,6075.91,-628.26,-110.05,13987655.91,163.45,1098070.54,188.34,2.41
