channel_GES,east,north,depth,latitude,longitude,elevation,utm_easting,utm_northing,utm_depth
165,176.4908,-24.5789,6064.576,38.50396397775315,-112.89577131147436,-198.45786480000015,334694.9808381193,4263436.201357541,198.45786480000015
166,180.5836,-26.2996,6073.5938,38.50395948530745,-112.89575688828458,-201.20649024,334696.2283235593,4263435.676888179,201.20649024
167,184.6764,-28.0204,6082.6115,38.503954992585385,-112.89574246508934,-203.9550852000002,334697.4758089995,4263435.152388339,203.9550852000002
168,188.8066,-29.7477,6091.6095,38.50395048413229,-112.89572791076084,-206.69767560000014,334698.7346939588,4263434.6259073,206.69767560000014
169,192.9677,-31.4805,6100.591,38.50394596232575,-112.8957132480806,-209.4352368000002,334700.0029972391,4263434.097749859,209.4352368000002
170,197.134,-33.2155,6109.5699,38.50394143477166,-112.89569856707614,-212.1720055200003,334701.2728854794,4263433.56892186,212.1720055200003
171,201.3795,-34.9845,6118.5073,38.50393681835288,-112.89568360691912,-214.89612504000024,334702.5669138791,4263433.029730659,214.89612504000024
172,205.625,-36.7534,6127.4446,38.50393220220668,-112.89566864677113,-217.6202140800001,334703.8609422798,4263432.490569939,217.6202140800001
173,209.9397,-38.5432,6136.3451,38.50392753259456,-112.8956534433515,-220.33308648000002,334705.17606283905,4263431.9450389,220.33308648000002
174,214.3059,-40.3483,6145.2181,38.50392282388928,-112.89563805890317,-223.0375768800002,334706.5068805992,4263431.394844418,223.0375768800002
175,218.6824,-42.1563,6154.0849,38.50391810780299,-112.89562263826218,-225.7401775200001,334707.8408377995,4263430.84376602,225.7401775200001
176,223.1692,-43.9936,6162.8856,38.50391331751425,-112.89560683015108,-228.42263088000004,334709.20841443876,4263430.28375698,228.42263088000004
177,227.656,-45.8309,6171.6862,38.50390852722329,-112.895591022042,-231.10505376000015,334710.5759910789,4263429.72374794,231.10505376000015
178,232.227,-47.7164,6180.4363,38.50390360936543,-112.89557491628976,-233.77208424000037,334711.9692318809,4263429.14904754,233.77208424000037
179,236.8545,-49.6341,6189.1526,38.50389860629984,-112.89555861082374,-236.42881248000026,334713.3796938795,4263428.56453258,236.42881248000026
180,241.5003,-51.5612,6197.8562,38.50389357846043,-112.89554224074725,-239.0816697600003,334714.79573371913,4263427.977152499,239.0816697600003
181,246.2926,-53.5634,6206.4599,38.503888352726925,-112.89552535342973,-241.70407752000006,334716.25642675906,4263427.366881939,241.70407752000006
182,251.0849,-55.5656,6215.0636,38.50388312699094,-112.89550846611459,-244.32648528000027,334717.7171197992,4263426.75661138,244.32648528000027
183,255.9977,-57.6204,6223.5869,38.503877763661094,-112.89549115401637,-246.92438712000035,334719.21454123897,4263426.130308338,246.92438712000035
184,260.983,-59.707,6232.0619,38.50387231712621,-112.89547358633338,-249.5075671200002,334720.734060679,4263425.49431266,249.5075671200002
185,265.9936,-61.804,6240.5188,38.50386684346762,-112.89545592951201,-252.0852302400001,334722.26129155926,4263424.855147058,252.0852302400001
186,271.1638,-63.967,6248.8611,38.503861197638216,-112.89543771033712,-254.62796328000013,334723.8371685197,4263424.19586466,254.62796328000013
